Box Name,Lat,Long,Box Code,Degrees from North,Orientation
box 1,34.4579,-119.7673,A1,150,SSE
box 2,34.45818,-119.7673,A2,130,SE
box 3,34.45836,-119.7675,A3,170,S
box 4,34.45854,-119.7674,A4,140,SE
box 5,34.46297,-119.7704,B1,190,S
box 6,34.4632,-119.7702,B2,150,SSE
box 7,34.46334,-119.7701,B3,140,SE
box 8,34.46351,-119.7699,B4,180,S
box 9,34.46065,-119.7641,C1,170,S
box 10,34.46054,-119.7638,C2,130,SE
box 11,34.46022,-119.7637,C3,160,SSE
box 12,34.45986,-119.7634,C4,140,SE
box 13,34.4634932,-119.7664499,D1,100,E
box 14,34.4636364,-119.7664258,D2,130,SE
box 15,34.4637577,-119.7663426,D3,150,SSE
box 16,34.4638893,-119.7663272,D4,140,SE